"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US00601","ZCTA5 00601","17800","299",
"8600000US00602","ZCTA5 00602","39716","188",
"8600000US00603","ZCTA5 00603","51565","785",
"8600000US00606","ZCTA5 00606","6320","233",
"8600000US00610","ZCTA5 00610","27976","197",
"8600000US00612","ZCTA5 00612","63884","1569",
"8600000US00616","ZCTA5 00616","10321","1084",
"8600000US00617","ZCTA5 00617","24648","268",
"8600000US00622","ZCTA5 00622","7385","1039",
"8600000US00623","ZCTA5 00623","42711","1039",
"8600000US00624","ZCTA5 00624","23945","478",
"8600000US00627","ZCTA5 00627","33481","*****",
"8600000US00631","ZCTA5 00631","1689","344",
"8600000US00637","ZCTA5 00637","24013","*****",
"8600000US00638","ZCTA5 00638","17795","232",
"8600000US00641","ZCTA5 00641","28925","430",
"8600000US00646","ZCTA5 00646","38292","174",
"8600000US00647","ZCTA5 00647","5711","610",
"8600000US00650","ZCTA5 00650","14569","487",
"8600000US00652","ZCTA5 00652","3893","626",
"8600000US00653","ZCTA5 00653","12125","596",
"8600000US00656","ZCTA5 00656","19996","45",
"8600000US00659","ZCTA5 00659","41327","*****",
"8600000US00660","ZCTA5 00660","16678","*****",
"8600000US00662","ZCTA5 00662","41986","484",
"8600000US00664","ZCTA5 00664","15693","108",
"8600000US00667","ZCTA5 00667","24492","140",
"8600000US00669","ZCTA5 00669","27063","263",
"8600000US00670","ZCTA5 00670","9087","146",
"8600000US00674","ZCTA5 00674","41545","220",
"8600000US00676","ZCTA5 00676","38488","120",
"8600000US00677","ZCTA5 00677","14755","71",
"8600000US00678","ZCTA5 00678","26490","400",
"8600000US00680","ZCTA5 00680","50628","1776",
"8600000US00682","ZCTA5 00682","32433","1694",
"8600000US00683","ZCTA5 00683","32058","397",
"8600000US00685","ZCTA5 00685","40102","324",
"8600000US00687","ZCTA5 00687","32087","*****",
"8600000US00688","ZCTA5 00688","12797","866",
"8600000US00690","ZCTA5 00690","5328","785",
"8600000US00692","ZCTA5 00692","36700","612",
"8600000US00693","ZCTA5 00693","57428","637",
"8600000US00694","ZCTA5 00694","66","69",
"8600000US00698","ZCTA5 00698","38502","70",
"8600000US00703","ZCTA5 00703","27797","619",
"8600000US00704","ZCTA5 00704","8390","912",
"8600000US00705","ZCTA5 00705","24387","291",
"8600000US00707","ZCTA5 00707","11506","*****",
"8600000US00714","ZCTA5 00714","18640","153",
"8600000US00715","ZCTA5 00715","3692","658",
"8600000US00716","ZCTA5 00716","29351","1518",
"8600000US00717","ZCTA5 00717","17958","1109",
"8600000US00718","ZCTA5 00718","26460","291",
"8600000US00719","ZCTA5 00719","30094","336",
"8600000US00720","ZCTA5 00720","22148","153",
"8600000US00723","ZCTA5 00723","18135","*****",
"8600000US00725","ZCTA5 00725","83479","2392",
"8600000US00727","ZCTA5 00727","57079","2240",
"8600000US00728","ZCTA5 00728","41245","1857",
"8600000US00729","ZCTA5 00729","52897","778",
"8600000US00730","ZCTA5 00730","33899","1388",
"8600000US00731","ZCTA5 00731","14988","1186",
"8600000US00735","ZCTA5 00735","12798","291",
"8600000US00736","ZCTA5 00736","49841","664",
"8600000US00738","ZCTA5 00738","32409","294",
"8600000US00739","ZCTA5 00739","37558","638",
