"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US00985","ZCTA5 00985","33653","1770",
"8600000US00987","ZCTA5 00987","60377","2339",
"8600000US01001","ZCTA5 01001","17438","639",
"8600000US01002","ZCTA5 01002","29780","538",
"8600000US01003","ZCTA5 01003","11241","534",
"8600000US01005","ZCTA5 01005","5201","194",
"8600000US01007","ZCTA5 01007","14838","37",
"8600000US01008","ZCTA5 01008","1171","139",
"8600000US01009","ZCTA5 01009","429","202",
"8600000US01010","ZCTA5 01010","3695","21",
"8600000US01011","ZCTA5 01011","1506","180",
"8600000US01012","ZCTA5 01012","539","87",
"8600000US01013","ZCTA5 01013","22394","622",
"8600000US01020","ZCTA5 01020","30952","839",
"8600000US01022","ZCTA5 01022","2840","464",
"8600000US01026","ZCTA5 01026","1036","131",
"8600000US01027","ZCTA5 01027","17787","103",
"8600000US01028","ZCTA5 01028","16017","23",
"8600000US01029","ZCTA5 01029","717","189",
"8600000US01030","ZCTA5 01030","11250","635",
"8600000US01031","ZCTA5 01031","1369","187",
"8600000US01032","ZCTA5 01032","611","116",
"8600000US01033","ZCTA5 01033","6304","31",
"8600000US01034","ZCTA5 01034","2190","201",
"8600000US01035","ZCTA5 01035","5324","23",
"8600000US01036","ZCTA5 01036","5179","20",
"8600000US01037","ZCTA5 01037","731","166",
"8600000US01038","ZCTA5 01038","2794","141",
"8600000US01039","ZCTA5 01039","1236","173",
"8600000US01040","ZCTA5 01040","40342","67",
"8600000US01050","ZCTA5 01050","2513","302",
"8600000US01053","ZCTA5 01053","1772","262",
"8600000US01054","ZCTA5 01054","1993","128",
"8600000US01056","ZCTA5 01056","21348","25",
"8600000US01057","ZCTA5 01057","8712","120",
"8600000US01060","ZCTA5 01060","15229","463",
"8600000US01062","ZCTA5 01062","11029","543",
"8600000US01063","ZCTA5 01063","572","114",
"8600000US01066","ZCTA5 01066","10","16",
"8600000US01068","ZCTA5 01068","1803","97",
"8600000US01069","ZCTA5 01069","8976","429",
"8600000US01070","ZCTA5 01070","565","75",
"8600000US01071","ZCTA5 01071","1318","142",
"8600000US01072","ZCTA5 01072","1465","143",
"8600000US01073","ZCTA5 01073","6022","17",
"8600000US01074","ZCTA5 01074","247","194",
"8600000US01075","ZCTA5 01075","17781","35",
"8600000US01077","ZCTA5 01077","9640","20",
"8600000US01079","ZCTA5 01079","593","222",
"8600000US01080","ZCTA5 01080","2286","314",
"8600000US01081","ZCTA5 01081","1720","203",
"8600000US01082","ZCTA5 01082","10460","126",
"8600000US01083","ZCTA5 01083","2960","487",
"8600000US01084","ZCTA5 01084","155","53",
"8600000US01085","ZCTA5 01085","41509","235",
"8600000US01086","ZCTA5 01086","685","207",
"8600000US01088","ZCTA5 01088","493","145",
"8600000US01089","ZCTA5 01089","28600","28",
"8600000US01092","ZCTA5 01092","1291","400",
"8600000US01093","ZCTA5 01093","307","83",
"8600000US01094","ZCTA5 01094","336","106",
"8600000US01095","ZCTA5 01095","14514","47",
"8600000US01096","ZCTA5 01096","2494","253",
"8600000US01097","ZCTA5 01097","31","45",
"8600000US01098","ZCTA5 01098","1149","168",
"8600000US01103","ZCTA5 01103","2564","280",
"8600000US01104","ZCTA5 01104","23485","1047",
"8600000US01105","ZCTA5 01105","12027","930",
"8600000US01106","ZCTA5 01106","16007","72",
"8600000US01107","ZCTA5 01107","11224","772",
"8600000US01108","ZCTA5 01108","27342","1054",
"8600000US01109","ZCTA5 01109","30541","1062",
"8600000US01118","ZCTA5 01118","14453","829",
"8600000US01119","ZCTA5 01119","13269","866",
"8600000US01128","ZCTA5 01128","2498","333",
"8600000US01129","ZCTA5 01129","7377","471",
"8600000US01151","ZCTA5 01151","9037","557",
"8600000US01199","ZCTA5 01199","0","12",
"8600000US01201","ZCTA5 01201","45328","240",
"8600000US01220","ZCTA5 01220","8391","89",
"8600000US01222","ZCTA5 01222","812","215",
"8600000US01223","ZCTA5 01223","2294","154",
"8600000US01224","ZCTA5 01224","138","69",
"8600000US01225","ZCTA5 01225","3124","87",
"8600000US01226","ZCTA5 01226","6892","97",
"8600000US01229","ZCTA5 01229","114","67",
"8600000US01230","ZCTA5 01230","8048","378",
"8600000US01235","ZCTA5 01235","2866","195",
"8600000US01236","ZCTA5 01236","1538","347",
"8600000US01237","ZCTA5 01237","2841","237",
"8600000US01238","ZCTA5 01238","5950","361",
"8600000US01240","ZCTA5 01240","4603","271",
"8600000US01242","ZCTA5 01242","394","269",
"8600000US01243","ZCTA5 01243","374","91",
"8600000US01244","ZCTA5 01244","115","67",
"8600000US01245","ZCTA5 01245","950","123",
"8600000US01247","ZCTA5 01247","15737","125",
"8600000US01253","ZCTA5 01253","708","144",
"8600000US01254","ZCTA5 01254","954","98",
"8600000US01255","ZCTA5 01255","852","106",
"8600000US01256","ZCTA5 01256","796","80",
"8600000US01257","ZCTA5 01257","2203","236",
"8600000US01258","ZCTA5 01258","334","90",
"8600000US01259","ZCTA5 01259","563","107",
"8600000US01260","ZCTA5 01260","485","372",
"8600000US01262","ZCTA5 01262","1239","292",
"8600000US01264","ZCTA5 01264","153","46",
"8600000US01266","ZCTA5 01266","1430","155",
"8600000US01267","ZCTA5 01267","7884","102",
"8600000US01270","ZCTA5 01270","789","97",
"8600000US01301","ZCTA5 01301","17766","52",
"8600000US01330","ZCTA5 01330","1432","166",
"8600000US01331","ZCTA5 01331","13290","132",
"8600000US01337","ZCTA5 01337","2593","188",
"8600000US01338","ZCTA5 01338","196","72",
"8600000US01339","ZCTA5 01339","1378","143",
"8600000US01340","ZCTA5 01340","1686","133",
"8600000US01341","ZCTA5 01341","1711","150",
"8600000US01342","ZCTA5 01342","1616","307",
"8600000US01343","ZCTA5 01343","46","30",
"8600000US01344","ZCTA5 01344","1559","128",
"8600000US01346","ZCTA5 01346","496","95",
"8600000US01347","ZCTA5 01347","143","92",
"8600000US01349","ZCTA5 01349","1078","269",
"8600000US01350","ZCTA5 01350","104","30",
"8600000US01351","ZCTA5 01351","2212","326",
"8600000US01354","ZCTA5 01354","1641","192",
"8600000US01355","ZCTA5 01355","925","88",
"8600000US01360","ZCTA5 01360","3022","19",
"8600000US01364","ZCTA5 01364","7880","49",
"8600000US01366","ZCTA5 01366","1167","121",
"8600000US01367","ZCTA5 01367","666","129",
"8600000US01368","ZCTA5 01368","1336","164",
"8600000US01370","ZCTA5 01370","3990","211",
"8600000US01373","ZCTA5 01373","4355","367",
"8600000US01375","ZCTA5 01375","3680","22",
"8600000US01376","ZCTA5 01376","5275","289",
"8600000US01378","ZCTA5 01378","726","88",
"8600000US01379","ZCTA5 01379","843","112",
"8600000US01420","ZCTA5 01420","40462","33",
"8600000US01430","ZCTA5 01430","6160","16",
"8600000US01431","ZCTA5 01431","3177","17",
"8600000US01432","ZCTA5 01432","7489","302",
"8600000US01434","ZCTA5 01434","1658","369",
"8600000US01436","ZCTA5 01436","3897","471",
"8600000US01438","ZCTA5 01438","553","306",
"8600000US01440","ZCTA5 01440","20320","45",
"8600000US01450","ZCTA5 01450","11120","19",
"8600000US01451","ZCTA5 01451","4758","347",
"8600000US01452","ZCTA5 01452","4474","37",
"8600000US01453","ZCTA5 01453","41206","62",
"8600000US01460","ZCTA5 01460","9359","27",
"8600000US01462","ZCTA5 01462","11029","22",
"8600000US01463","ZCTA5 01463","11953","22",
"8600000US01464","ZCTA5 01464","7436","21",
"8600000US01467","ZCTA5 01467","472","306",
"8600000US01468","ZCTA5 01468","3717","474",
"8600000US01469","ZCTA5 01469","7348","294",
"8600000US01473","ZCTA5 01473","7414","23",
"8600000US01474","ZCTA5 01474","1934","294",
"8600000US01475","ZCTA5 01475","10542","27",
