"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US00985","ZCTA5 00985","35236","1461",
"8600000US00987","ZCTA5 00987","60544","1893",
"8600000US01001","ZCTA5 01001","17141","644",
"8600000US01002","ZCTA5 01002","29844","867",
"8600000US01003","ZCTA5 01003","11062","838",
"8600000US01005","ZCTA5 01005","5113","252",
"8600000US01007","ZCTA5 01007","14774","28",
"8600000US01008","ZCTA5 01008","1212","138",
"8600000US01009","ZCTA5 01009","546","193",
"8600000US01010","ZCTA5 01010","3667","14",
"8600000US01011","ZCTA5 01011","1478","168",
"8600000US01012","ZCTA5 01012","499","82",
"8600000US01013","ZCTA5 01013","22299","854",
"8600000US01020","ZCTA5 01020","30593","910",
"8600000US01022","ZCTA5 01022","2711","408",
"8600000US01026","ZCTA5 01026","1009","116",
"8600000US01027","ZCTA5 01027","17652","96",
"8600000US01028","ZCTA5 01028","15917","43",
"8600000US01029","ZCTA5 01029","701","154",
"8600000US01030","ZCTA5 01030","11485","642",
"8600000US01031","ZCTA5 01031","1389","202",
"8600000US01032","ZCTA5 01032","585","115",
"8600000US01033","ZCTA5 01033","6214","91",
"8600000US01034","ZCTA5 01034","2061","204",
"8600000US01035","ZCTA5 01035","5285","19",
"8600000US01036","ZCTA5 01036","5141","57",
"8600000US01037","ZCTA5 01037","721","160",
"8600000US01038","ZCTA5 01038","2837","138",
"8600000US01039","ZCTA5 01039","1354","181",
"8600000US01040","ZCTA5 01040","40079","30",
"8600000US01050","ZCTA5 01050","2512","284",
"8600000US01053","ZCTA5 01053","1847","252",
"8600000US01054","ZCTA5 01054","1836","139",
"8600000US01056","ZCTA5 01056","21288","31",
"8600000US01057","ZCTA5 01057","8645","129",
"8600000US01060","ZCTA5 01060","15348","537",
"8600000US01062","ZCTA5 01062","10830","537",
"8600000US01063","ZCTA5 01063","612","152",
"8600000US01066","ZCTA5 01066","10","16",
"8600000US01068","ZCTA5 01068","1791","108",
"8600000US01069","ZCTA5 01069","8982","338",
"8600000US01070","ZCTA5 01070","580","77",
"8600000US01071","ZCTA5 01071","1361","159",
"8600000US01072","ZCTA5 01072","1482","148",
"8600000US01073","ZCTA5 01073","5958","32",
"8600000US01074","ZCTA5 01074","301","248",
"8600000US01075","ZCTA5 01075","17832","87",
"8600000US01077","ZCTA5 01077","9599","21",
"8600000US01079","ZCTA5 01079","542","207",
"8600000US01080","ZCTA5 01080","2176","244",
"8600000US01081","ZCTA5 01081","1807","219",
"8600000US01082","ZCTA5 01082","10394","139",
"8600000US01083","ZCTA5 01083","3108","452",
"8600000US01084","ZCTA5 01084","211","50",
"8600000US01085","ZCTA5 01085","41121","462",
"8600000US01086","ZCTA5 01086","1038","436",
"8600000US01088","ZCTA5 01088","446","135",
"8600000US01089","ZCTA5 01089","28554","50",
"8600000US01092","ZCTA5 01092","1078","367",
"8600000US01093","ZCTA5 01093","282","79",
"8600000US01094","ZCTA5 01094","310","113",
"8600000US01095","ZCTA5 01095","14436","57",
"8600000US01096","ZCTA5 01096","2522","253",
"8600000US01097","ZCTA5 01097","36","43",
"8600000US01098","ZCTA5 01098","1095","143",
"8600000US01103","ZCTA5 01103","2472","278",
"8600000US01104","ZCTA5 01104","22285","988",
"8600000US01105","ZCTA5 01105","12054","874",
"8600000US01106","ZCTA5 01106","16077","83",
"8600000US01107","ZCTA5 01107","11706","890",
"8600000US01108","ZCTA5 01108","26670","1310",
"8600000US01109","ZCTA5 01109","30987","1183",
"8600000US01118","ZCTA5 01118","14192","632",
"8600000US01119","ZCTA5 01119","13942","982",
"8600000US01128","ZCTA5 01128","2568","303",
"8600000US01129","ZCTA5 01129","7160","459",
"8600000US01151","ZCTA5 01151","9581","738",
"8600000US01199","ZCTA5 01199","0","12",
"8600000US01201","ZCTA5 01201","45557","230",
"8600000US01220","ZCTA5 01220","8536","136",
"8600000US01222","ZCTA5 01222","811","176",
"8600000US01223","ZCTA5 01223","2336","154",
"8600000US01224","ZCTA5 01224","242","131",
"8600000US01225","ZCTA5 01225","3057","132",
"8600000US01226","ZCTA5 01226","6944","100",
"8600000US01229","ZCTA5 01229","131","74",
